global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
1,1,Junction,Safina Plaza,99.24,15449,16163,9270,3980.7384763749874,111
2,1,Street/Location,Outer Ring Road,98.62,8830,13088,3786,2574.7499547574016,163
3,1,Police Station,Upparpet,96.26,34468,35483,16755,8826.387646168683,233
4,2,Junction,KR Market,95.87,11538,11925,4712,3401.8299678314806,150
5,2,Street/Location,1st Cross Road,94.76,6149,6700,2638,1611.638977858509,277
6,3,Street/Location,1st Main Road,94.65,5824,6114,2789,1474.726836926544,331
7,3,Junction,Sagar Theatre,93.95,10549,10993,5807,2693.7683161068853,85
8,2,Police Station,Shivajinagar,93.72,28044,29305,15238,7451.625937365546,283
9,4,Junction,Elite,92.78,10718,10855,5942,2863.6376967708775,50
10,4,Street/Location,MBT Road,92.19,6429,9038,1737,1745.215613124135,69
11,3,Police Station,HAL Old Airport,91.64,20819,29818,9617,5262.5597191088655,511
12,5,Street/Location,Mysore Road,91.51,5973,6694,2044,1673.035221173994,74
13,4,Police Station,Malleshwaram,91.41,22200,22596,13071,6314.845757138335,436
14,6,Street/Location,5th Main Road,91.12,4975,5124,2654,1398.6349215523853,108
15,7,Street/Location,80 Feet Ring Road,89.97,5679,5870,3163,1758.4190309571768,25
16,8,Street/Location,New Horizon College Road,89.24,6291,8862,3020,1570.2950804109555,8
17,9,Street/Location,3rd Cross Road,88.92,3810,4101,1795,1101.5915558350111,163
18,10,Street/Location,Chord Road,88.71,4680,4948,2292,1222.9315272786598,49
19,11,Street/Location,Unnamed Road,87.24,5071,6167,1009,1422.9184101456788,35
20,12,Street/Location,Hosur Road,86.75,3580,4474,941,964.7120511915057,131
21,13,Street/Location,6th Main Road,86.4,3449,3505,1992,953.7317330844307,67
22,14,Street/Location,Bellary Road,86.35,4061,4204,1356,1028.210687060298,54
23,15,Street/Location,Subedar Chatram Road,86.05,4974,5159,2039,1264.02394238288,11
24,16,Street/Location,Kamaraj Road,85.94,4551,4755,2613,1324.28319862932,10
25,17,Street/Location,Sri Venkataranga Ayangar Road,85.55,4223,4244,2713,1159.9553082208838,12
26,5,Junction,Central Street,85.35,5388,5749,2416,1386.9234125708408,70
27,5,Police Station,City Market,84.91,17646,18438,7429,5004.984864414326,354
28,18,Street/Location,Sahakar Nagar Road,84.8,4715,4880,1798,1505.1102824126997,7
29,6,Junction,Modi Bridge,84.1,4584,4685,2622,1144.874368200506,76
30,19,Street/Location,2nd Main Road,83.9,2603,2786,881,621.2268269277497,174
31,7,Junction,Subbanna,83.86,5189,5269,1597,1404.0001675843118,68
32,20,Street/Location,4th Main Road,83.45,2463,2861,1021,629.9482797385621,123
33,21,Street/Location,AS Char Main Road,83.37,3625,4047,1993,890.9972757382013,10
34,22,Street/Location,ITPL Main Road,83.1,3032,3247,1241,663.7419911853278,41
35,8,Junction,"NR Road, SP Road",82.18,3681,3831,2204,982.107178161951,87
36,23,Street/Location,G Narayana Kumar Road,82.18,2926,3102,1089,780.862294196045,31
37,24,Street/Location,Old Madras Road,81.86,2417,3487,948,675.9269692522018,44
38,25,Street/Location,2nd Cross Road,81.68,1873,2120,774,554.2359202003579,212
39,9,Junction,Anand Rao,81.59,3935,4118,1516,1009.8973426343102,78
40,26,Street/Location,3rd Main Road,81.49,2042,2099,1011,577.8826200950461,113
41,10,Junction,Hosahalli Metro Station,81.43,4101,4189,1864,811.3215786507677,61
42,6,Police Station,Vijayanagara,81.09,14652,15269,6182,3362.064754166835,375
43,27,Street/Location,Palace Road,80.91,2958,2992,1061,438.52606739866224,25
44,28,Street/Location,Whitefield Road,80.91,1978,3587,799,642.3753003961951,51
45,29,Street/Location,Dispensary Road,80.23,2924,3076,1926,764.8084694988311,5
46,30,Street/Location,20th Main Road,80.07,2294,2543,928,666.9561117852402,32
47,31,Street/Location,Da Ra Bendre Road,79.71,2698,2754,1478,903.5437096599583,7
48,32,Street/Location,5th Cross Road,79.61,1898,1967,574,558.1645204859719,115
49,33,Street/Location,Mumbai Bengaluru Highway,79.41,2007,2684,648,482.25694790282415,55
50,34,Street/Location,Padmabhushan Dr MC Modi Road,79.29,2551,2717,1314,713.3411160282681,9
51,35,Street/Location,Kempegowda Road,79.01,2135,2205,1296,499.6678239810889,21
52,36,Street/Location,Y Ramachandra Road,79.0,2805,2854,1454,675.1749020858733,5
53,37,Street/Location,Dickenson Road,78.96,2296,2444,1310,659.6201346048197,12
54,38,Street/Location,19th Main Road,78.94,2037,2046,1464,515.5153441406985,21
55,39,Street/Location,Silver Jubilee Park Road,78.4,2448,2527,1416,580.8137520294429,7
56,40,Street/Location,Main Guard Cross Road,77.68,2566,2636,1548,630.0030543933481,3
57,11,Junction,"AS Char Street, Mysore Road",77.66,2778,3385,1005,725.0557018431037,69
58,12,Junction,Danvanthri Road,77.65,3181,3322,1323,710.5383795664992,43
59,7,Police Station,Rajajinagar,77.63,10998,11848,4535,2946.259928910773,544
60,41,Street/Location,Major T Ramachandrappa Road,77.29,2455,2578,993,558.0884297626823,6
61,13,Junction,"10th Cross, Dr. Rajkumar Road",77.24,2812,2842,1280,840.2242035693966,53
62,42,Street/Location,Dr Rajkumar Puniya Bhoomi Road,77.13,1449,1851,555,384.91894960195435,83
63,43,Street/Location,Meenakshi Koil Street,76.23,2223,2349,1060,612.1910916331381,4
64,44,Street/Location,10th Cross Road,76.16,1519,1540,887,267.1330725569768,42
65,45,Street/Location,7th Cross Road,75.96,1471,1517,448,284.03691227413844,94
