day_of_week,day_name,hour,violation_count
0,Monday,0,839
0,Monday,1,1487
0,Monday,2,1547
0,Monday,3,1907
0,Monday,4,2210
0,Monday,5,2049
0,Monday,6,1748
0,Monday,7,2299
0,Monday,8,3242
0,Monday,9,3469
0,Monday,10,3822
0,Monday,11,4388
0,Monday,12,2865
0,Monday,13,1449
0,Monday,14,813
0,Monday,15,204
0,Monday,16,35
0,Monday,17,67
0,Monday,18,60
0,Monday,19,4
0,Monday,20,0
0,Monday,21,1
0,Monday,22,66
0,Monday,23,109
1,Tuesday,0,820
1,Tuesday,1,1497
1,Tuesday,2,2295
1,Tuesday,3,3268
1,Tuesday,4,3664
1,Tuesday,5,3488
1,Tuesday,6,2868
1,Tuesday,7,2744
1,Tuesday,8,4039
1,Tuesday,9,3695
1,Tuesday,10,4674
1,Tuesday,11,4300
1,Tuesday,12,2681
1,Tuesday,13,1430
1,Tuesday,14,626
1,Tuesday,15,139
1,Tuesday,16,71
1,Tuesday,17,31
1,Tuesday,18,17
1,Tuesday,19,5
1,Tuesday,20,1
1,Tuesday,21,24
1,Tuesday,22,132
1,Tuesday,23,188
2,Wednesday,0,739
2,Wednesday,1,1559
2,Wednesday,2,2697
2,Wednesday,3,3278
2,Wednesday,4,3663
2,Wednesday,5,3311
2,Wednesday,6,3018
2,Wednesday,7,2887
2,Wednesday,8,3409
2,Wednesday,9,3794
2,Wednesday,10,4385
2,Wednesday,11,4093
2,Wednesday,12,2534
2,Wednesday,13,1515
2,Wednesday,14,514
2,Wednesday,15,117
2,Wednesday,16,69
2,Wednesday,17,29
2,Wednesday,18,2
2,Wednesday,19,0
2,Wednesday,20,20
2,Wednesday,21,36
2,Wednesday,22,155
2,Wednesday,23,153
3,Thursday,0,883
3,Thursday,1,1728
3,Thursday,2,2623
3,Thursday,3,3765
3,Thursday,4,3868
3,Thursday,5,3381
3,Thursday,6,3097
3,Thursday,7,2792
3,Thursday,8,3821
3,Thursday,9,3772
3,Thursday,10,4431
3,Thursday,11,4375
3,Thursday,12,2494
3,Thursday,13,1310
3,Thursday,14,658
3,Thursday,15,159
3,Thursday,16,62
3,Thursday,17,57
3,Thursday,18,19
3,Thursday,19,3
3,Thursday,20,4
3,Thursday,21,28
3,Thursday,22,84
3,Thursday,23,133
4,Friday,0,719
4,Friday,1,1670
4,Friday,2,2273
4,Friday,3,3117
4,Friday,4,3270
4,Friday,5,3523
4,Friday,6,3054
4,Friday,7,2744
4,Friday,8,3254
4,Friday,9,3639
4,Friday,10,3962
4,Friday,11,4342
4,Friday,12,2429
4,Friday,13,1529
4,Friday,14,891
4,Friday,15,154
4,Friday,16,67
4,Friday,17,21
4,Friday,18,1
4,Friday,19,2
4,Friday,20,3
4,Friday,21,20
4,Friday,22,100
4,Friday,23,80
5,Saturday,0,695
5,Saturday,1,1525
5,Saturday,2,2623
5,Saturday,3,3278
5,Saturday,4,3818
5,Saturday,5,3248
5,Saturday,6,2955
5,Saturday,7,2667
5,Saturday,8,3551
5,Saturday,9,3655
5,Saturday,10,4943
5,Saturday,11,4924
5,Saturday,12,3230
5,Saturday,13,1882
5,Saturday,14,809
5,Saturday,15,244
5,Saturday,16,136
5,Saturday,17,54
5,Saturday,18,7
5,Saturday,19,7
5,Saturday,20,1
5,Saturday,21,13
5,Saturday,22,120
5,Saturday,23,138
6,Sunday,0,1120
6,Sunday,1,1632
6,Sunday,2,2203
6,Sunday,3,2952
6,Sunday,4,3020
6,Sunday,5,3193
6,Sunday,6,3098
6,Sunday,7,3312
6,Sunday,8,4474
6,Sunday,9,4972
6,Sunday,10,6363
6,Sunday,11,5754
6,Sunday,12,3456
6,Sunday,13,2431
6,Sunday,14,1323
6,Sunday,15,207
6,Sunday,16,143
6,Sunday,17,118
6,Sunday,18,44
6,Sunday,19,6
6,Sunday,20,13
6,Sunday,21,26
6,Sunday,22,68
6,Sunday,23,234
