zone_id,zone_name,top_police_station,top_junction,top_location,predicted_next_day_violations,predicted_risk_score,predicted_risk_band,recommended_action,manpower_estimate,time_window_to_watch
ZONE_001,Subedar Chatram Road / KR Market Zone,Upparpet,BTP082 - KR Market Junction,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",439.51,100.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_002,80 Feet Ring Road / Modi Bridge Zone,Vijayanagara,BTP027 - Modi Bridge Junction,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",277.84,99.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_003,Kamaraj Road / Safina Plaza Zone,Shivajinagar,BTP051 - Safina Plaza Junction,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",163.02,99.6,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_004,Outer Ring Road / HAL Old Airport Zone,HAL Old Airport,No Junction,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",121.77,99.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_005,Sahakar Nagar Road / Kodigehalli Zone,Kodigehalli,No Junction,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",31.01,99.3,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_009,MBT Road / Mahadevapura Zone,Mahadevapura,No Junction,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",27.29,99.1,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_015,"5th Main Road / New Diagonal Road, Jayanagar Zone",Jayanagara,"BTP189 - New Diagonal Road, Jayanagar","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",26.94,98.9,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 AM - 11:00 AM (Morning Peak Focus)
ZONE_016,Sri DV Gundappa Road / Tagore Park Zone,Basavanagudi,BTP108 - Tagore Park Junction,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",26.28,98.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_006,MBT Road / K.R. Pura Zone,K.R. Pura,No Junction,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",25.58,98.5,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_031,Bhadrappa Flyover / Kodigehalli Zone,Kodigehalli,No Junction,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",18.07,98.3,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_007,Mahatma Gandhi Road / Safina Plaza Zone,Halasur,BTP051 - Safina Plaza Junction,"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",17.17,98.1,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_008,Unnamed Road / Chikkajala Zone,Chikkajala,No Junction,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",15.42,98.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_019,G Narayana Kumar Road / Leprosy Hospital Zone,Magadi Road,BTP074 - Leprosy Hospital Junction,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",15.25,97.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_029,80 Feet Road / Sadashivanagar Zone,Sadashivanagar,No Junction,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",14.68,97.6,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_017,Neeladri Road / Electronic City Zone,Electronic City,No Junction,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",14.54,97.4,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_036,"9th Main Road / 9th Cross, 4th Main, Jayanagar Zone",Wilson Garden,"BTP186 - 9th Cross, 4th Main, Jayanagar","9th Main Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",12.73,97.2,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_037,Srinivagilu Main Road / Adugodi Zone,Adugodi,No Junction,"Srinivagilu Main Road, ST Bed Layout Extension, Block 4, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",12.31,97.0,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,08:00 PM - 08:00 AM (Night Monitoring Focus)
ZONE_026,Whitefield Road / Mahadevapura Zone,Mahadevapura,No Junction,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",11.38,96.8,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
ZONE_018,17th Cross Road / HSR Layout Zone,HSR Layout,No Junction,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",9.48,96.7,Very High,Deploy Towing Vehicle + 3 Officers + Barricade Support,3,11:00 AM - 05:00 PM (Midday Traffic Focus)
