Feature,LightGBM,XGBoost,Random Forest,Average
rolling_7d_peak_hour_sum,0.03539094650205761,0.2691968,0.08853865936623377,0.1310421380688189
rolling_7d_sum,0.07736625514403292,0.0108655635,0.19686250481341364,0.09503144116139872
lag_14_count,0.14320987654320988,0.0989996,0.03551295136365188,0.09257414167968925
unique_locations,0.060082304526748974,0.1295634,0.06967965562345058,0.08644178875333648
rolling_7d_mean,0.014814814814814815,0.015158628,0.20994237863253842,0.07997194052030702
rolling_14d_mean,0.015637860082304528,0.116231844,0.07353201657452793,0.0684672401619958
rolling_14d_sum,0.07654320987654321,0.053294413,0.06265985508562645,0.06416582591796621
rolling_7d_parking_sum,0.02962962962962963,0.005876751,0.10464620856327114,0.04671752978127889
lag_7_count,0.06172839506172839,0.049361885,0.008885753933293368,0.03999201119632846
lag_1_peak_hour_count,0.08641975308641975,0.015462406,0.009152990869444927,0.037011716645166004
lag_3_count,0.08065843621399177,0.0062355474,0.017089274223872623,0.03466108593387416
unique_junctions,0.0205761316872428,0.041416023,0.03245124915402127,0.03148113458927768
lag_1_count,0.02633744855967078,0.03954658,0.005757147592736664,0.023880391758316927
unique_violation_types,0.02551440329218107,0.028941134,0.015885802852135922,0.023447113378400275
lag_1_parking_count,0.050205761316872426,0.007902381,0.005312571801326185,0.021140238042850725
count_growth_rate_14d,0.04526748971193416,0.002541886,0.014705438873601354,0.02083827150987295
day_of_week,0.03950617283950617,0.0032965317,0.01240025615768332,0.018400986911346742
centroid_lon,0.0049382716049382715,0.036030497,0.0009480923242624911,0.013972287110384502
hotspot_band_num,0.03374485596707819,0.0031206228,0.0038926062200775016,0.013586028339207044
count_growth_rate_7d,0.022222222222222223,0.0034904543,0.00973189686739649,0.011814857791364321
week_of_month,0.027160493827160494,0.0024643862,0.004637180456990795,0.01142068681767288
lat_std,0.0024691358024691358,0.014805387,0.001985301271225289,0.00641994128264545
centroid_lat,0.0032921810699588477,0.013069807,0.0024977406284081116,0.006286576106281864
month_over_month_trend,0.0,0.013823537,0.0019086999632775216,0.005244079039754451
peak_share,0.006584362139917695,0.0020600688,0.0015227021045821324,0.0033890443385809744
is_weekend,0.0,0.0055260905,0.003752939407703438,0.0030930099713892267
lon_std,0.0049382716049382715,0.0026092299,0.0012000909900682028,0.0029158641581534177
is_peak_season,0.0024691358024691358,0.004698189,0.0007629957552545252,0.0026434401777256787
month,0.0032921810699588477,0.0007046302,0.0018144810689763007,0.0019370974529261291
violation_density,0.0,0.0030271946,0.0008000511545654508,0.0012757485999404183
days_since_last_violation,0.0,0.0,0.0013472222998851986,0.0004490740999617329
unique_vehicle_classes,0.0,0.0006784987,0.00017867269025244586,0.00028572379854527866
recurring_hotspot_flag,0.0,0.0,4.6113162448047595e-06,1.5371054149349198e-06
