zone_id,zone_name,latitude,longitude,total_violations,parking_related_violations,hotspot_score,hotspot_band,top_police_station,top_location,dominant_time_bucket,dominant_hour,peak_share
ZONE_001,Subedar Chatram Road / KR Market Zone,12.975502097030919,77.57724920999307,76174,79588,100.0,Very High,Upparpet,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",morning_peak,9,0.4869
ZONE_002,80 Feet Ring Road / Modi Bridge Zone,12.99143612766189,77.54961935551475,43055,44542,94.13,Very High,Vijayanagara,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",morning_peak,10,0.4718
ZONE_003,Kamaraj Road / Safina Plaza Zone,12.982216811368744,77.60697277706774,28851,30151,88.9,Very High,Shivajinagar,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",midday,10,0.5397
ZONE_004,Outer Ring Road / HAL Old Airport Zone,12.934589611266288,77.69021855830331,17765,26297,84.96,Very High,HAL Old Airport,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",night,4,0.4551
ZONE_007,Mahatma Gandhi Road / Safina Plaza Zone,12.97345769430491,77.61529739807435,5450,6787,72.47,Very High,Halasur,"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",night,4,0.3675
ZONE_005,Sahakar Nagar Road / Kodigehalli Zone,13.070991500441046,77.58844753302998,6208,6484,71.31,Very High,Kodigehalli,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",midday,11,0.3822
ZONE_006,MBT Road / K.R. Pura Zone,13.007847400156798,77.69311595673658,5588,7073,70.57,Very High,K.R. Pura,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",night,0,0.2323
ZONE_009,MBT Road / Mahadevapura Zone,12.99836106951797,77.67284278585151,4126,6861,69.22,Very High,Mahadevapura,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",night,1,0.4142
ZONE_008,Unnamed Road / Chikkajala Zone,13.185364108883832,77.6804948555373,5053,6158,66.04,Very High,Chikkajala,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",night,4,0.1943
ZONE_012,ITPL Main Road / HAL Old Airport Zone,12.962658801784615,77.71693010267015,3044,3216,65.51,Very High,HAL Old Airport,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",night,5,0.4639
ZONE_011,Coles Road / Pulikeshinagar(F.Town) Zone,12.996291711409597,77.61240131385452,3313,3578,65.38,Very High,Pulikeshinagar(F.Town),"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",midday,3,0.1708
ZONE_010,Bellary Road / Hebbala Zone,13.0355671912808,77.58906304259892,3482,3510,65.31,Very High,Hebbala,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",night,4,0.3541
ZONE_014,"Domlur Inner Ring Road / 17th Main, Doopanahalli Bus Stop Zone",12.969134545556729,77.6434785098686,2584,3717,65.24,Very High,Jeevanbheemanagar,"Domlur Inner Ring Road, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",morning_peak,7,0.529
ZONE_015,"5th Main Road / New Diagonal Road, Jayanagar Zone",12.92858817968826,77.58335493654894,2546,2965,65.15,Very High,Jayanagara,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",morning_peak,8,0.6112
ZONE_016,Sri DV Gundappa Road / Tagore Park Zone,12.943859053695077,77.57133909701352,2502,2605,63.51,Very High,Basavanagudi,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",midday,10,0.3741
ZONE_013,Palace Road / Windsor Circle Zone,12.99261067180988,77.58895254020584,3017,3045,62.55,Very High,High ground,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",night,3,0.2937
ZONE_019,G Narayana Kumar Road / Leprosy Hospital Zone,12.975725410259342,77.56030602169318,2069,2266,61.12,Very High,Magadi Road,"G Narayana Kumar Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",night,11,0.3306
ZONE_022,20th Main Road / UCO Bank Zone,12.935959931086957,77.61631591815217,1840,2057,61.1,Very High,Adugodi,"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",midday,11,0.4082
ZONE_026,Whitefield Road / Mahadevapura Zone,12.995889036596235,77.69514935094865,1691,2426,60.83,Very High,Mahadevapura,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",midday,11,0.453
ZONE_021,Marathahalli Underpass / HAL Old Airport Zone,12.957783752817969,77.70154672143856,1854,2283,60.69,Very High,HAL Old Airport,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",night,11,0.3921
ZONE_024,"Old Airport Road / 17th Main, Doopanahalli Bus Stop Zone",12.959983744718627,77.64523251342439,1814,2026,60.47,Very High,Jeevanbheemanagar,"Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",night,5,0.4316
ZONE_018,17th Cross Road / HSR Layout Zone,12.912510672218847,77.6361325875952,2123,2134,60.37,Very High,HSR Layout,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",midday,12,0.2317
ZONE_020,Mysore Road / Gali Anjaneya Temple Zone,12.952917294386658,77.54186783383454,1977,2407,60.14,Very High,Byatarayanapura,"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",night,1,0.304
ZONE_017,Neeladri Road / Electronic City Zone,12.841830173489322,77.64608044631032,2125,2165,59.43,Very High,Electronic City,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",midday,12,0.1379
ZONE_023,Hosur Road / HSR Layout Zone,12.907812529795953,77.62948345541716,1814,2038,59.11,Very High,HSR Layout,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",midday,13,0.1814
ZONE_025,Hosur Road / Hulimavu Zone,12.890410447284545,77.63888201451265,1732,1794,58.56,Very High,Hulimavu,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",night,2,0.1484
ZONE_028,Mumbai Bengaluru Highway / Yeshwanthpura Zone,13.029384178783998,77.53896324008309,1313,1726,57.08,Very High,Yeshwanthpura,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",night,10,0.4219
ZONE_029,80 Feet Road / Sadashivanagar Zone,13.02782443083127,77.57481484072463,1253,1293,56.28,Very High,Sadashivanagar,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",midday,11,0.3408
ZONE_027,Kadidal Manjappa Road / Nanjappa Circle Zone,12.96193848943612,77.59841830306924,1401,1404,55.22,Very High,Ashok Nagar,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",night,4,0.2741
ZONE_031,Bhadrappa Flyover / Kodigehalli Zone,13.047709230297723,77.57561508327495,1142,1149,55.05,Very High,Kodigehalli,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",night,2,0.2916
ZONE_030,Pusa Thippasandra Main Road / Jeevanbheemanagar Zone,12.971751408802024,77.65809020342513,1235,1424,54.68,Very High,Jeevanbheemanagar,"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",morning_peak,7,0.5457
ZONE_032,ITPL Main Road / HAL Old Airport Zone,12.97475458715232,77.71127975913387,1082,1305,54.68,Very High,HAL Old Airport,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",night,3,0.2477
ZONE_033,Dr Siddaiah Puranik Marg / Havanur Circle Zone,12.988746263509585,77.53773504299159,1022,1102,54.13,Very High,Vijayanagara,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",midday,10,0.4442
