zone_id,zone_name,centroid_lat,centroid_lon,lat_std,lon_std,total_violations,parking_related_violations,non_parking_violations,violation_density,hotspot_score,hotspot_band,top_police_station,top_junction,top_location,peak_hour_violations,morning_peak_violations,evening_peak_violations,weekend_violations,weekday_violations,night_violations,unique_violation_types,unique_vehicle_classes,unique_locations,unique_junctions,recency_weight_sum,dominant_hour,dominant_time_bucket,dominant_day_name,peak_share,violations_nov,violations_dec,violations_jan,violations_feb,violations_mar,violations_apr,month_over_month_trend,recurring_hotspot_flag
ZONE_001,Subedar Chatram Road / KR Market Zone,12.975502097030919,77.57724920999307,0.011750905190173787,0.004716707436969055,76174,79588,1753,0.002803,100.0,Very High,Upparpet,BTP082 - KR Market Junction,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",37091,36928,163,24825,51349,24504,11,6,1322,43,19986.25449358119,9,morning_peak,Sunday,0.4869,11705,16954,15975,13428,13827,4285,-0.1103,1
ZONE_002,80 Feet Ring Road / Modi Bridge Zone,12.99143612766189,77.54961935551475,0.015864257592242293,0.005791602782081213,43055,44542,857,0.002111,94.13,Very High,Vijayanagara,BTP027 - Modi Bridge Junction,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",20313,20284,29,13400,29655,14082,11,6,999,33,11327.8466322,10,morning_peak,Sunday,0.4718,6845,9719,8313,8038,7681,2459,-0.1128,1
ZONE_003,Kamaraj Road / Safina Plaza Zone,12.982216811368744,77.60697277706774,0.002036356124146962,0.004038727456594687,28851,30151,1875,0.007537,88.9,Very High,Shivajinagar,BTP051 - Safina Plaza Junction,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",15571,15426,145,10748,18103,4086,13,6,317,7,7640.503523095079,10,midday,Sunday,0.5397,5863,4419,7121,4287,5685,1476,-0.1246,1
ZONE_004,Outer Ring Road / HAL Old Airport Zone,12.934589611266288,77.69021855830331,0.006307330356690598,0.007055829852069209,17765,26297,441,0.001002,84.96,Very High,HAL Old Airport,No Junction,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8084,8084,0,3121,14644,8154,13,6,321,1,4626.509940393377,4,night,Thursday,0.4551,1604,2906,5239,4136,3479,401,-0.0521,1
ZONE_007,Mahatma Gandhi Road / Safina Plaza Zone,12.97345769430491,77.61529739807435,0.002309309260699472,0.007446731787261532,5450,6787,185,0.000902,72.47,Very High,Halasur,BTP051 - Safina Plaza Junction,"Mahatma Gandhi Road, Mittal Towers, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",2003,1960,43,2001,3449,2312,10,6,255,6,1190.6490801566765,4,night,Sunday,0.3675,931,1306,1202,1154,643,214,-0.1768,1
ZONE_005,Sahakar Nagar Road / Kodigehalli Zone,13.070991500441046,77.58844753302998,0.0008243103168534639,0.001546867747129732,6208,6484,241,0.006304,71.31,Very High,Kodigehalli,No Junction,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",2373,2373,0,1963,4245,791,8,5,54,1,1958.5580717259454,11,midday,Monday,0.3822,497,900,1507,1507,1346,451,0.0306,1
ZONE_006,MBT Road / K.R. Pura Zone,13.007847400156798,77.69311595673658,0.0014050874387134796,0.0042320302372048455,5588,7073,51,0.002925,70.57,Very High,K.R. Pura,No Junction,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",1298,1242,56,1795,3793,2532,9,6,91,1,1592.4093004212914,0,night,Sunday,0.2323,761,1182,1134,979,1164,368,-0.0667,1
ZONE_009,MBT Road / Mahadevapura Zone,12.99836106951797,77.67284278585151,0.0020654409070236888,0.004218805942033482,4126,6861,211,0.003478,69.22,Very High,Mahadevapura,No Junction,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",1709,1709,0,1147,2979,1843,11,6,71,1,1221.6064328173627,1,night,Thursday,0.4142,394,974,694,895,989,180,-0.0342,1
ZONE_008,Unnamed Road / Chikkajala Zone,13.185364108883832,77.6804948555373,0.00196778245520204,0.0018788294022742172,5053,6158,137,0.002445,66.04,Very High,Chikkajala,No Junction,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",982,969,13,1487,3566,2664,7,5,11,1,1424.892858698248,4,night,Friday,0.1943,377,993,1193,1175,1175,140,-0.0223,1
ZONE_012,ITPL Main Road / HAL Old Airport Zone,12.962658801784615,77.71693010267015,0.003515496982661471,0.0019117759622696673,3044,3216,71,0.001219,65.51,Very High,HAL Old Airport,No Junction,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",1412,1412,0,814,2230,1334,8,6,98,1,648.029466729429,5,night,Tuesday,0.4639,19,620,1447,580,352,26,-0.0921,1
